SAMPLE_ID	mutations	cna	structural_variants
P-0043499-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043499-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043501-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043502-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043502-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043503-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043503-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043504-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043504-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043504-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043504-T05-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043508-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043508-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043514-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043514-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043692-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043696-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043733-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043745-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043745-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043746-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043747-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043747-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043747-T03-IM7	IMPACT505	IMPACT505	IMPACT505
P-0043854-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043854-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043872-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043956-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043969-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043969-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043969-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043970-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043971-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043972-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043972-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043972-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044013-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044017-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044017-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044028-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044139-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044145-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044145-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044145-T04-IH3	IMPACT-HEME-400	IMPACT-HEME-400	IMPACT-HEME-400
P-0044145-T05-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044214-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044214-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044379-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044379-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044381-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044382-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044470-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044470-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044470-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044470-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044496-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044557-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044573-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044573-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044573-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044656-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044705-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044705-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044707-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044707-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044707-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044708-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044708-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044710-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044902-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044912-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044913-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044937-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044940-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0044940-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044964-T01-IM6	IMPACT468	IMPACT468	IMPACT468
